팀명,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E
롯데,0,0,1,0,0,0,2,1,0,,,,4,8,0
삼성,0,0,0,0,0,1,0,2,0,,,,3,10,0
키움,0,0,0,0,0,0,1,0,0,,,,1,4,0
KIA,0,0,0,1,1,0,0,1,0,,,,3,7,1
NC,5,2,0,0,1,0,2,0,-,,,,10,17,1
kt,1,0,1,0,0,0,0,2,0,,,,4,7,0
한화,1,0,5,0,0,0,0,0,-,,,,6,8,0
LG,0,0,0,0,0,0,1,1,0,,,,2,8,1
두산,2,1,3,0,0,5,0,0,-,,,,11,16,1
SK,3,0,0,0,0,0,1,0,0,,,,4,7,0
롯데,0,0,0,0,0,3,0,0,0,,,,3,5,4
삼성,0,0,0,0,0,0,2,0,0,,,,2,5,0
키움,5,2,0,0,1,1,0,3,-,,,,12,17,0
한화,1,0,0,0,1,0,0,0,0,,,,2,7,0
SK,1,0,4,0,4,2,0,0,-,,,,11,12,1
KIA,0,0,0,0,0,1,1,0,1,,,,3,8,2
두산,0,0,0,2,0,0,0,1,1,,,,4,6,0
LG,1,1,2,2,1,0,2,0,3,,,,12,18,0
키움,5,0,1,2,2,0,0,0,0,,,,10,12,2
롯데,0,0,0,0,0,0,1,1,0,,,,2,10,0
kt,0,3,0,0,2,0,0,2,-,,,,7,10,0
NC,0,0,0,2,0,1,0,0,0,,,,3,7,2
삼성,0,3,0,2,0,1,0,0,-,,,,6,6,1
한화,0,0,1,0,0,1,0,0,0,,,,2,6,2
SK,9,1,2,0,0,5,0,0,-,,,,17,19,0
KIA,0,0,0,0,0,0,0,0,0,,,,0,3,0
두산,0,0,0,0,0,0,1,0,-,,,,1,8,0
LG,0,0,0,0,0,0,0,0,0,,,,0,6,1
키움,1,0,0,2,1,0,0,2,-,,,,6,10,0
롯데,2,0,0,0,0,0,2,0,0,,,,4,11,0
kt,0,0,0,4,1,0,0,0,-,,,,5,8,0
NC,0,0,0,0,0,0,0,0,0,,,,0,2,0
삼성,2,0,0,0,0,0,0,0,-,,,,2,5,0
한화,1,0,0,0,0,0,0,1,4,,,,6,10,1
SK,0,0,0,0,0,0,0,0,1,,,,1,10,2
KIA,0,0,0,0,1,0,0,2,2,,,,5,12,1
두산,2,0,0,1,0,0,0,0,0,,,,3,9,0
LG,0,0,0,0,0,1,0,0,0,,,,1,7,1
키움,0,0,0,0,0,0,1,1,-,,,,2,6,0
롯데,1,3,4,1,2,1,0,1,0,,,,13,22,0
kt,1,0,1,0,0,3,0,1,0,,,,6,16,0
NC,0,0,0,3,1,0,0,0,0,,,,4,10,0
삼성,0,0,5,1,0,0,0,0,-,,,,6,10,1
한화,0,0,0,4,1,0,0,0,0,,,,5,8,1
LG,0,0,0,2,0,0,0,0,0,,,,2,4,1
롯데,0,4,0,2,1,2,0,3,0,,,,12,18,2
삼성,3,1,1,0,0,0,0,0,0,,,,5,4,3
두산,0,0,3,0,0,1,0,0,7,,,,11,13,1
NC,1,2,1,3,0,3,1,0,1,,,,12,17,0
한화,1,1,0,0,0,0,1,0,0,,,,3,13,1
넥센,0,0,1,3,2,0,0,0,-,,,,6,12,1
kt,0,0,1,0,0,3,1,0,0,,,,5,11,0
KIA,2,0,0,0,0,2,0,0,0,,,,4,12,0
LG,0,1,0,0,0,0,0,0,1,,,,2,7,0
NC,0,0,2,0,0,0,0,2,-,,,,4,9,0
롯데,1,1,1,0,1,0,1,0,0,,,,5,7,2
SK,2,0,2,1,0,0,1,0,-,,,,6,8,3
삼성,1,0,3,0,0,0,0,0,2,,,,6,13,1
두산,0,0,0,0,1,0,2,0,0,,,,3,6,0
한화,0,0,1,0,2,0,0,1,0,,,,4,11,0
넥센,0,0,0,0,0,0,1,0,0,,,,1,5,0
kt,0,0,0,0,1,0,0,0,0,,,,1,7,0
KIA,6,1,0,0,0,3,0,4,-,,,,14,16,0
LG,0,0,0,0,0,0,0,1,0,,,,1,3,3
NC,0,0,1,0,5,0,1,0,-,,,,7,8,0
롯데,0,0,0,0,0,0,0,0,0,,,,0,5,0
SK,1,0,0,1,0,0,3,0,-,,,,5,9,1
삼성,4,0,0,0,0,0,0,0,0,,,,4,6,1
두산,1,1,2,0,0,0,1,0,-,,,,5,8,0
한화,0,0,0,3,0,0,0,3,0,,,,6,10,1
NC,1,4,0,1,0,0,3,0,-,,,,9,9,0
kt,0,0,1,0,0,0,3,1,0,,,,5,8,2
SK,2,0,1,3,1,1,0,0,-,,,,8,14,2
LG,0,2,0,0,0,0,0,0,2,,,,0,4,10
넥센,0,0,0,1,0,2,0,0,1,,,,1,5,14
롯데,0,0,0,0,0,0,0,0,0,,,,0,3,0
두산,1,2,0,0,0,2,0,0,-,,,,5,7,0
삼성,0,0,0,0,0,0,0,0,0,,,,0,6,0
KIA,0,0,1,10,3,0,3,0,-,,,,17,14,0
한화,0,0,1,0,1,0,0,4,0,,,,6,10,0
NC,2,0,0,0,0,0,0,0,0,,,,2,5,2
kt,0,0,1,2,0,3,2,0,0,,,,8,15,1
SK,0,2,0,1,0,0,0,2,0,,,,5,9,2
LG,4,0,0,3,0,0,0,2,0,,,,9,13,0
넥센,0,0,2,1,0,0,0,0,0,,,,3,4,2
롯데,2,2,0,0,0,0,0,0,1,,,,5,10,2
두산,1,0,2,0,0,0,0,3,-,,,,6,5,1
삼성,1,1,0,0,0,1,1,2,0,,,,6,14,0
KIA,0,0,0,0,0,0,0,0,0,,,,0,5,1
한화,0,0,0,0,0,1,0,0,0,,,,1,6,2
NC,0,0,0,0,0,0,0,4,-,,,,4,10,1
kt,0,2,1,0,0,4,0,0,0,,,,7,12,0
SK,0,0,0,0,0,0,1,0,0,,,,1,7,0
LG,1,1,0,0,0,0,0,0,2,,,,4,11,0
넥센,5,0,3,1,0,0,0,0,-,,,,9,12,1
롯데,0,0,0,1,0,0,0,0,0,,,,1,4,1
두산,1,0,0,0,0,3,0,0,-,,,,4,9,1
삼성,0,0,0,0,0,0,0,0,0,,,,0,3,0
KIA,1,0,0,0,3,0,3,0,-,,,,7,13,0
KIA,0,0,0,1,2,0,1,0,0,,,,4,10,1
LG,0,0,0,0,0,2,0,1,0,,,,3,10,0
NC,0,0,3,0,2,0,1,1,0,,,,7,10,1
롯데,0,0,0,0,0,2,0,0,3,,,,5,6,1
두산,0,0,3,0,0,0,0,3,0,,,,6,11,1
kt,0,0,0,0,0,1,1,0,0,,,,2,7,0
SK,0,1,0,3,4,0,0,0,0,,,,8,6,0
한화,0,1,1,0,0,1,0,1,0,,,,4,9,1
넥센,0,0,2,0,3,3,0,0,0,,,,0,0,2
삼성,2,1,0,0,0,0,5,0,0,,,,0,0,0
